University Name,Attributes,Number of Faculty (2019),Number of Graduate Students (2019),Faculty Ranking (2024),Age of Faculty Dissertations (2019),Average h-index/age of Faculty (2024),Average h-index/age of Graduates w TT/T jobs in NA (2024),Subfield representation (2019),Gender Ratio: Men/Women (2019),Average number of LX Majors (2019-2023)
Boston University,9,10,27,0,21.11,0.98,1.08,"""5 syntax, 3 semantics, 3 acquisition, 3 sociolinguistics, 1 applied, 1 morphology, 3 phonetics, 2 general, 1 psycholinguistics, 0 computational, 1 pragmatics, 1 historical, 1 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",2.0,18.4
Cornell University,9,14,29,0.67,33.08,0.77,0.80,"""4 syntax, 6 semantics, 1 acquisition, 4 sociolinguistics, 1 applied, 3 morphology, 1 phonetics, 1 general, 0 psycholinguistics, 2 computational, 2 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.3,14.8
Georgetown University,9,20,41,0.14,24.81,1.40,0.78,"""5 syntax, 3 semantics, 2 acquisition, 11 sociolinguistics, 13 applied, 3 morphology, 4 phonetics, 0 general, 0 psycholinguistics, 2 computational, 1 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 3 processing, 3 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.7,23
Harvard University,9,10,18,0.57,31.33,1.22,1.10,"""5 syntax, 6 semantics, 2 acquisition, 0 sociolinguistics, 0 applied, 2 morphology, 0 phonetics, 3 general, 1 psycholinguistics, 1 computational, 4 pragmatics, 2 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 1 processing, 1 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 1 pathology, 1 psychology, 0 translation, 1 computer science, 1 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.6,12.6
Indiana University-Bloomington,9,14,71,0.25,27.92,0.79,1.05,"""7 syntax, 4 semantics, 3 acquisition, 5 sociolinguistics, 1 applied, 4 morphology, 3 phonetics, 10 general, 0 psycholinguistics, 4 computational, 1 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 4 processing, 1 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.7,21.8
Michigan State University,9,10,24,-0.4,27.11,0.84,0.91,"""4 syntax, 2 semantics, 1 acquisition, 2 sociolinguistics, 1 applied, 2 morphology, 1 phonetics, 1 general, 1 psycholinguistics, 0 computational, 2 pragmatics, 0 historical, 0 documentation, 2 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.0,14.2
MIT,9,17,32,1,37.41,1.11,1.08,"""9 syntax, 8 semantics, 2 acquisition, 2 sociolinguistics, 3 applied, 3 morphology, 2 phonetics, 4 general, 1 psycholinguistics, 2 computational, 1 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 1 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",2.6,3
New York University,9,22,32,1,24.11,1.32,1.22,"""8 syntax, 7 semantics, 3 acquisition, 10 sociolinguistics, 5 applied, 3 morphology, 3 phonetics, 5 general, 2 psycholinguistics, 2 computational, 0 pragmatics, 0 historical, 0 documentation, 1 neurolinguistics, 0 sign language, 1 processing, 0 cognition, 2 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.0,6
Northwestern University,9,8,27,0.57,28.86,1.28,0.89,"""3 syntax, 2 semantics, 5 acquisition, 1 sociolinguistics, 3 applied, 0 morphology, 3 phonetics, 0 general, 4 psycholinguistics, 2 computational, 3 pragmatics, 0 historical, 0 documentation, 2 neurolinguistics, 0 sign language, 1 processing, 1 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.7,8.8
Ohio State University-Main Campus,9,16,37,0.83,25.69,1.02,0.94,"""3 syntax, 3 semantics, 1 acquisition, 4 sociolinguistics, 1 applied, 0 morphology, 2 phonetics, 1 general, 1 psycholinguistics, 5 computational, 2 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 1 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.3,41.4
Purdue University-Main Campus,9,27,23,-1,30.19,0.96,1.27,"""5 syntax, 3 semantics, 5 acquisition, 7 sociolinguistics, 12 applied, 2 morphology, 4 phonetics, 5 general, 3 psycholinguistics, 0 computational, 3 pragmatics, 0 historical, 0 documentation, 1 neurolinguistics, 0 sign language, 1 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 1 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 1 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.6,13.4
Rutgers University-New Brunswick,9,15,25,0.83,22.77,1.14,1.02,"""9 syntax, 9 semantics, 2 acquisition, 1 sociolinguistics, 3 applied, 4 morphology, 0 phonetics, 7 general, 2 psycholinguistics, 2 computational, 2 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 1 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.8,35.2
Stanford University,9,15,29,1,26.57,2.30,1.74,"""4 syntax, 2 semantics, 0 acquisition, 5 sociolinguistics, 2 applied, 5 morphology, 1 phonetics, 0 general, 0 psycholinguistics, 4 computational, 0 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",2.0,8.4
Stony Brook University (SUNY),9,18,32,0.5,30.88,0.72,0.69,"""6 syntax, 4 semantics, 4 acquisition, 1 sociolinguistics, 3 applied, 5 morphology, 2 phonetics, 7 general, 0 psycholinguistics, 2 computational, 0 pragmatics, 0 historical, 0 documentation, 1 neurolinguistics, 0 sign language, 0 processing, 1 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 1 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",2.0,48
University of Arizona,9,21,89,0.67,31.76,1.19,0.80,"""4 syntax, 1 semantics, 4 acquisition, 1 sociolinguistics, 2 applied, 0 morphology, 1 phonetics, 0 general, 4 psycholinguistics, 3 computational, 0 pragmatics, 0 historical, 0 documentation, 1 neurolinguistics, 0 sign language, 1 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.8,26.6
University of California-Berkeley,9,14,32,1,28.57,1.05,1.04,"""4 syntax, 5 semantics, 1 acquisition, 4 sociolinguistics, 2 applied, 3 morphology, 2 phonetics, 7 general, 2 psycholinguistics, 1 computational, 0 pragmatics, 0 historical, 0 documentation, 1 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.9,59.6
University of California-Los Angeles,9,18,33,1,27.56,1.06,1.17,"""10 syntax, 5 semantics, 4 acquisition, 1 sociolinguistics, 1 applied, 4 morphology, 5 phonetics, 4 general, 0 psycholinguistics, 3 computational, 4 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 2 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.4,42.2
University of California-San Diego,9,14,34,0.67,23.93,1.13,0.76,"""5 syntax, 2 semantics, 4 acquisition, 0 sociolinguistics, 5 applied, 3 morphology, 2 phonetics, 8 general, 5 psycholinguistics, 1 computational, 1 pragmatics, 0 historical, 0 documentation, 2 neurolinguistics, 0 sign language, 0 processing, 2 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",2.3,51.2
University of California-Santa Barbara,9,14,29,0.17,26.25,1.36,1.04,"""4 syntax, 0 semantics, 2 acquisition, 9 sociolinguistics, 4 applied, 5 morphology, 3 phonetics, 8 general, 1 psycholinguistics, 1 computational, 2 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 1 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 1 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.5,59.2
University of California-Santa Cruz,9,13,22,0.86,24.25,0.90,1.25,"""5 syntax, 5 semantics, 0 acquisition, 0 sociolinguistics, 0 applied, 3 morphology, 4 phonetics, 0 general, 1 psycholinguistics, 1 computational, 2 pragmatics, 0 historical, 3 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.8,36.8
University of Chicago,9,17,42,0.71,31.13,1.19,0.93,"""5 syntax, 6 semantics, 0 acquisition, 1 sociolinguistics, 0 applied, 4 morphology, 1 phonetics, 0 general, 1 psycholinguistics, 3 computational, 2 pragmatics, 1 historical, 3 documentation, 0 neurolinguistics, 1 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 1 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.8,21.4
University of Colorado-Boulder,9,11,57,0.17,28.27,1.12,1.45,"""2 syntax, 1 semantics, 0 acquisition, 2 sociolinguistics, 0 applied, 0 morphology, 1 phonetics, 0 general, 1 psycholinguistics, 2 computational, 2 pragmatics, 0 historical, 2 documentation, 0 neurolinguistics, 0 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",0.6,30.6
University of Connecticut,9,11,30,0.4,27.10,1.28,1.05,"""5 syntax, 4 semantics, 3 acquisition, 0 sociolinguistics, 0 applied, 1 morphology, 0 phonetics, 0 general, 2 psycholinguistics, 1 computational, 1 pragmatics, 0 historical, 0 documentation, 0 neurolinguistics, 4 sign language, 0 processing, 0 cognition, 0 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 0 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 1 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.1,10.6
University of Delaware,9,14,30,-0.5,25.36,0.90,1.38,"""4 syntax, 2 semantics, 1 acquisition, 0 sociolinguistics, 0 applied, 0 morphology, 2 phonetics, 0 general, 1 psycholinguistics, 0 computational, 0 pragmatics, 0 historical, 1 documentation, 3 neurolinguistics, 0 sign language, 0 processing, 1 cognition, 2 philosophy, 0 bilingualism, 0 typology, 0 tesol, 0 cogneurosci, 0 discourse, 0 vision, 0 evolution, 1 pathology, 0 psychology, 0 translation, 0 computer science, 0 semiotics, 0 deaf education, 0 women studies, 0 literature, 0 corpus, 0 variation, 0 heritage, 0 disorders, 0 anthropology, 0 fieldwork, 0 game theory, 0 digital humanities""",1.0,8.6
